strike,expiration,type,iv,underlying_price,delta,gamma,theta,vega,bid,ask,volume
100.0,2025-01-03,call,0.038473026919867565,255.59,0.9840251020234023,0.0003140757114332347,-0.4246361850023203,0.010286968976158462,,,1.0
105.0,2025-01-03,call,0.03665011272369219,255.59,0.9832458490852329,0.0003439647348289717,-0.4224884231079956,0.010571805029386008,,,
110.0,2025-01-03,call,0.034688219317499866,255.59,0.98278704537418,0.00037194028157816537,-0.40997855772816344,0.01085136931990278,,,
115.0,2025-01-03,call,0.03057513606512741,255.59,0.9864092961119045,0.0003395812649461587,-0.2943165336873857,0.011147275530887934,,,
120.0,2025-01-03,call,0.029063758886524575,255.59,0.9857744409633512,0.00037192536667126947,-0.2919018286850618,0.011407750925062705,,,
125.0,2025-01-03,call,0.030026698527243424,255.59,0.9797924529199388,0.0004934797299431196,-0.4090115133499858,0.023279694594954096,,,
130.0,2025-01-03,call,0.03206618179664022,255.59,0.9660628583038737,0.0007061658685367592,-0.6602439402838806,0.02367481123992927,,,3.0
135.0,2025-01-03,call,0.02720692498265303,255.59,0.9768950676347428,0.0006066697786047895,-0.41364575255915903,0.02426624964182605,,,1.0
140.0,2025-01-03,call,0.02577567273156596,255.59,0.9757546035710778,0.0006660464500048648,-0.40828906903432527,0.02474675292384229,,,1.0
145.0,2025-01-03,call,0.024396257728744552,255.59,0.9745404429918456,0.0007323206237244326,-0.4028569595087289,0.02521698783373509,,,1.0
150.0,2025-01-03,call,0.02306508081158455,255.59,0.97324284828875,0.000806629210864879,-0.3973572588330914,0.02567719700699934,,,14.0
155.0,2025-01-03,call,0.024939877153024724,255.59,0.9560766686366531,0.0011302441594526831,-0.6415958327277964,0.0260721004148032,,,2.0
160.0,2025-01-03,call,0.020628894696533527,255.59,0.9697663336670517,0.0009962639467158607,-0.3937606330834622,0.026568612425028598,,,5.0
165.0,2025-01-03,call,0.019237558880482147,255.59,0.9693493976377207,0.0010807374283405783,-0.3729350898203616,0.027004493703725495,,,1.0
170.0,2025-01-03,call,0.018253663616642418,255.59,0.9663038836514539,0.0012306444464574484,-0.3823956588291186,0.027427094985840363,,,1.0
175.0,2025-01-03,call,0.01622174098098902,255.59,0.9716349084558931,0.001206653999157015,-0.30075382516605603,0.027847951954626277,,,21.0
180.0,2025-01-03,call,0.01601833234748051,255.59,0.9621626874238817,0.0015431204324073387,-0.3708713412970873,0.028253012412477643,,,43.0
185.0,2025-01-03,call,0.01503548714836511,255.59,0.9589911385068923,0.0017578765316295538,-0.3726531950751704,0.028654494852364862,,,22.0
190.0,2025-01-03,call,0.013993652203903934,255.59,0.9562692824398555,0.001992966406932442,-0.36681505036240164,0.02904887533426576,,,24.0
195.0,2025-01-03,call,0.013064710747158658,255.59,0.9523554840987376,0.002294740878583339,-0.3685490858160801,0.02943699349829297,,,2.0
200.0,2025-01-03,call,0.013355279728998457,255.59,0.9319337670222323,0.0029740319822511925,-0.49202793212600954,0.05153073854641321,,,104.0
202.5,2025-01-03,call,0.013372645128481495,255.59,0.9206931674551795,0.0033269326875267646,-0.5493687427033508,0.051864849324813396,,,4.0
205.0,2025-01-03,call,0.009206560474138958,255.59,0.9719136386200965,0.0021222442944232,-0.18189540852880606,0.030115451648201258,,,32.0
207.5,2025-01-03,call,0.010311561126251171,255.59,0.9467430612177087,0.0031923311995117926,-0.32339028405709946,0.030363292099842232,,,697.0
210.0,2025-01-03,call,0.010158477927785983,255.59,0.9402253546311632,0.0035759274928622007,-0.34981615707304287,0.052778873601165184,,,53.0
212.5,2025-01-03,call,0.00991310725656442,255.59,0.9313249625578449,0.004040920396890972,-0.37483130006721577,0.05310168550904527,,,10.0
215.0,2025-01-03,call,0.009062202715058398,255.59,0.9358920696129064,0.004212765388244143,-0.3297850552406081,0.05338350837219376,,,22.0
217.5,2025-01-03,call,0.009570922831234816,255.59,0.9092809416298213,0.005148086752859615,-0.4410228382829393,0.05375540988562197,,,3.0
220.0,2025-01-03,call,0.009148705382943422,255.59,0.9028262869547651,0.0056791689189004445,-0.4444759615927256,0.05406716226476752,,,61.0
222.5,2025-01-03,call,0.00914519564678547,255.59,0.8874084648895387,0.006384072224173295,-0.49643185604968004,0.05440545957456038,,,9.0
225.0,2025-01-03,call,0.005827910781730855,255.59,0.9543498546272585,0.00494509943835688,-0.17322883472843922,0.03143976242711808,,,22.0
227.5,2025-01-03,call,0.008157776402317948,255.59,0.8719770995330228,0.007827925485502851,-0.4850170181708182,0.0825220108438493,,,7.0
230.0,2025-01-03,call,0.006468617330284587,255.59,0.8974044513848093,0.00836906726643364,-0.33421831349674147,0.055173797141863885,,,149.0
232.5,2025-01-03,call,0.006785619923605023,255.59,0.8628768484010904,0.009823257310396991,-0.42430958299061017,0.08336026083060269,,,140.0
235.0,2025-01-03,call,0.0042950154652166075,255.59,0.9340171290919455,0.009103393854389647,-0.17384443085995968,0.055350251195964706,,,332.0
237.5,2025-01-03,call,0.0040541331782313166,255.59,0.9148979752528125,0.011575076032299191,-0.19343486484306163,0.05567001299573053,,,260.0
240.0,2025-01-03,call,0.0044141378859070424,255.59,0.8615872307521254,0.015206597541177876,-0.286466931394593,0.08436017187678659,,,785.0
242.5,2025-01-03,call,0.004602774794218727,255.59,0.8071007492734721,0.018089196487099963,-0.3624529413814052,0.08505465946012268,,,243.0
245.0,2025-01-03,call,0.0034726389783901208,255.59,0.8168385220165817,0.023139701105375693,-0.2704296434966105,0.08517938138776548,,,577.0
247.5,2025-01-03,call,0.003143338792420311,255.59,0.7747741071689814,0.029250918279556958,-0.27836375983441913,0.11210262811682728,,,775.0
250.0,2025-01-03,call,0.002581061981266223,255.59,0.7262611390856134,0.039036212989223704,-0.25149578590641597,0.11270716219636831,,,3527.0
252.5,2025-01-03,call,0.0023599657620450567,255.59,0.6312207926171469,0.04870210903406063,-0.25894004052081615,0.13010700149252116,,,4607.0
255.0,2025-01-03,call,0.0021128177985293853,255.59,0.5048509049093267,0.057920150644853695,-0.24421486575029358,0.13172311057030783,,,31112.0
257.5,2025-01-03,call,0.0019208829618223434,255.59,0.3518569423549209,0.05903911193379854,-0.20373869888463889,0.11710680102615832,,,32022.0
260.0,2025-01-03,call,0.0018385375119669976,255.59,0.21181865109788958,0.047813148880389685,-0.14977870558207396,0.09115381784178495,,,39264.0
262.5,2025-01-03,call,0.0018461022482359904,255.59,0.11593386017131248,0.03196072706971543,-0.10018776711867892,0.06176273475623522,,,12577.0
265.0,2025-01-03,call,0.0019374755503030465,255.59,0.0637856755769775,0.01952793832080622,-0.06701969773729564,0.03618544377365471,,,12241.0
267.5,2025-01-03,call,0.0020528985754203425,255.59,0.03499434503427866,0.011437261947472287,-0.04387094722521192,0.03652067154448265,,,3203.0
270.0,2025-01-03,call,0.0022039883013219973,255.59,0.023253260541157658,0.007468049992796415,-0.03292943257373648,0.018375619947891532,,,11434.0
272.5,2025-01-03,call,0.002391511694487487,255.59,0.01563218570446031,0.004930345817904339,-0.025526718477603755,0.018446833331517625,,,1291.0
275.0,2025-01-03,call,0.0025851080176561795,255.59,0.011669241188657791,0.0035513469804823476,-0.02144186163399699,0.007931398978248707,,,1806.0
277.5,2025-01-03,call,0.0027775514841518064,255.59,0.009445738856406555,0.002723924897971164,-0.018960487994712397,0.007955773501840836,,,576.0
280.0,2025-01-03,call,0.002967623966209577,255.59,0.007513106770828747,0.002076435049233348,-0.016479121176643522,0.007979856329444798,,,76.0
282.5,2025-01-03,call,0.0032180087295740167,255.59,0.006984677241941635,0.001795591219117678,-0.016737598696534243,0.007990706086629891,,,29.0
285.0,2025-01-03,call,0.003403598096860115,255.59,0.005442062154206175,0.0013685505031438335,-0.014256206169325887,0.008016054504917516,,,104.0
287.5,2025-01-03,call,0.0035387243934758526,255.59,0.004052742242273892,0.0010157674144058086,-0.011429218478362584,0.0029273330061412917,,,10.0
290.0,2025-01-03,call,0.003755291080736024,255.59,0.0038310985525142863,0.0009075571191019794,-0.011492740501860192,0.0029343037037453806,,,147.0
295.0,2025-01-03,call,0.004870084743095481,255.59,0.010766889088218923,0.0017492556383610063,-0.03720745840245124,0.008036778122941216,,,9.0
300.0,2025-01-03,call,0.005216096690350198,255.59,0.008530674372404531,0.001322383093515863,-0.032243851750696474,0.008098183453137002,,,2.0
305.0,2025-01-03,call,0.005014467250476472,255.59,0.0029215773044819907,0.0005271702203837014,-0.011873458662644004,0.0029835215257528265,,,1.0
310.0,2025-01-03,call,0.005419949834646105,255.59,0.002718771820221014,0.0004563092638427007,-0.01200016398869767,0.0030016986386253454,,,1.0
315.0,2025-01-03,call,0.00581879703370285,255.59,0.002546962014081065,0.0004002600468318472,-0.012126751981803553,0.0030203886443619403,,,7.0
320.0,2025-01-03,call,0.008307360018884265,255.59,0.019415011743381356,0.001698562133020985,-0.10482083496963523,0.019281522165634987,,,1.0
130.0,2025-01-03,put,0.017971486942204903,255.59,-0.0010811719416772153,5.9624995915014896e-05,-0.017112606361402105,0.0018628052549272854,,,61.0
135.0,2025-01-03,put,0.01700369972697325,255.59,-0.0011411929879378095,6.617056517439073e-05,-0.016997014319838737,0.0018987716122482188,,,31.0
140.0,2025-01-03,put,0.015813015104327127,255.59,-0.0009441628791658449,6.018819239175076e-05,-0.013367941525751144,0.0019337841032500266,,,2.0
145.0,2025-01-03,put,0.014918523033804419,255.59,-0.0009981769556830172,6.703748958862087e-05,-0.01324933586510447,0.0019680304069772726,,,1.0
150.0,2025-01-03,put,0.014054652995320206,255.59,-0.0010566734573047257,7.486649534737049e-05,-0.013129597550073356,0.002001495991230371,,,3.0
155.0,2025-01-03,put,0.013465164546361104,255.59,-0.0014320788047789239,0.00010266405993251191,-0.016521929096347518,0.0020346829102629903,,,15.0
160.0,2025-01-03,put,0.012652886511943583,255.59,-0.0015213194517755464,0.00011544339638449345,-0.016400612489296817,0.0020667726615014917,,,1791.0
165.0,2025-01-03,put,0.011865948192288254,255.59,-0.001619235555174007,0.0001303196121952248,-0.016278488363489826,0.0020981295406216917,,,48.0
170.0,2025-01-03,put,0.011102835824481285,255.59,-0.0017272478757943647,0.00014776644800336506,-0.01615563803490035,0.0021287551741648973,,,50.0
175.0,2025-01-03,put,0.01036217381450471,255.59,-0.0018470989397048802,0.00016839790280836404,-0.016032141516823598,0.0021586450233668933,,,15.0
180.0,2025-01-03,put,0.00964270675091913,255.59,-0.001980949970185577,0.00019302087166627162,-0.0159080691392382,0.0021877881211294936,,,112.0
185.0,2025-01-03,put,0.008943288222329423,255.59,-0.0021315149460171025,0.00022271225281913877,-0.015783484784610398,0.002216160996063234,,,800.0
190.0,2025-01-03,put,0.008039926992509794,255.59,-0.0018028989057568606,0.00021212184127246509,-0.012144110836197645,0.0022416727697589277,,,606.0
195.0,2025-01-03,put,0.007380160330776473,255.59,-0.0019576673740418936,0.0002492528445263622,-0.012018548828507874,0.0022679836063968233,,,39.0
200.0,2025-01-03,put,0.00695530026119797,255.59,-0.0027235160155567786,0.00035991267781898865,-0.015407218494619903,0.0022962818525380916,,,152.0
202.5,2025-01-03,put,0.006855291214299458,255.59,-0.0034227526146280284,0.0004535613825916973,-0.01885909063501449,0.002313427583143475,,,243.0
205.0,2025-01-03,put,0.006601913809331451,255.59,-0.004157799740458714,0.0005561721144878429,-0.02143964096042424,0.0063944214302932975,,,72.0
207.5,2025-01-03,put,0.006335701520981167,255.59,-0.004952918374006303,0.000674084986923764,-0.023922167872683715,0.006430338496756184,,,3349.0
210.0,2025-01-03,put,0.006150186642317103,255.59,-0.0064032613327548995,0.000871857343441844,-0.029144237715053572,0.006469313294224932,,,1952.0
212.5,2025-01-03,put,0.005890273031955568,255.59,-0.007355619989729583,0.0010318528279063724,-0.03162657826552278,0.006504889280039259,,,320.0
215.0,2025-01-03,put,0.005786460623129675,255.59,-0.00957566049815829,0.0013387433587380125,-0.03958820974168497,0.00654776803236088,,,5725.0
217.5,2025-01-03,put,0.005531140984566229,255.59,-0.01073414485617102,0.001557696307754432,-0.04207111510549243,0.009216738064637457,,,777.0
220.0,2025-01-03,put,0.0052280348648696415,255.59,-0.012631171522636197,0.0018799028174839813,-0.045329505460594076,0.015437196928278607,,,2117.0
222.5,2025-01-03,put,0.004928408899085075,255.59,-0.014753811879119018,0.0022689269048596695,-0.0485827073420468,0.015512130136570546,,,1405.0
225.0,2025-01-03,put,0.00460036473496585,255.59,-0.0164762342498943,0.002669306156071776,-0.049760149094152765,0.015580785255401857,,,6472.0
227.5,2025-01-03,put,0.004340137670691843,255.59,-0.01984202082537281,0.0033229418112386295,-0.05508823561713437,0.015658834159913513,,,3829.0
230.0,2025-01-03,put,0.004115007179399247,255.59,-0.024319500150854788,0.004196847251039196,-0.062492255383675185,0.015744109089747695,,,2054.0
232.5,2025-01-03,put,0.0038294511794904115,255.59,-0.0278991014628154,0.005104335877819177,-0.06575550022543551,0.016284221114133975,,,683.0
235.0,2025-01-03,put,0.003501518804806185,255.59,-0.03364194298505054,0.006449658944657235,-0.06934286023739095,0.03175660826995866,,,744.0
237.5,2025-01-03,put,0.0031565619788845515,255.59,-0.03974342418487158,0.00816450730783183,-0.0711858964151215,0.03186581079911484,,,1212.0
240.0,2025-01-03,put,0.0028473158313139686,255.59,-0.04900392065359651,0.010749809934241964,-0.07607384689340985,0.03199344217074341,,,2269.0
242.5,2025-01-03,put,0.0025733533929310965,255.59,-0.0622072770661842,0.014577216313024298,-0.08403141706179472,0.0324284460016866,,,1131.0
245.0,2025-01-03,put,0.0022446626689353495,255.59,-0.08378576318121783,0.02070575037227423,-0.09033109825318858,0.055735641610236544,,,6707.0
247.5,2025-01-03,put,0.002019678335865335,255.59,-0.12334514882970513,0.031046549354599974,-0.10901982374387725,0.05773021381684121,,,7189.0
